name	pvalues	keycpd	keycpdname	alteredMetabolites	upcount	downcount	upratio	altratio	csize	adjustedpvalue
Sugar alcohols	0.0108585146264419	C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O	sorbitol	3	3	0	0.25	0.25	12	0.0236913046395097
Tricarboxylic Acids 	0.0415614557561684	C(C(C(C(=O)O)O)C(=O)O)C(=O)O	isocitric acid	2	2	0	0.666666666666667	0.666666666666667	3	0.0664983292098695
Unsaturated CE	0.000482872378558041	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C	CE (20:4)	3	0	3	0	0.75	4	0.00136340436298741
Unsaturated LCFA	0.160271710588722	CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O	arachidonic acid	2	0	2	0	0.4	5	0.219801203093105
Unsaturated LysoPC	0	CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	LPC (16:1) 	9	0	9	0	1	9	0
Unsaturated PC	4.10782519111308e-15	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC	PC (18:1/16:0) 	23	1	22	0.0285714285714286	0.657142857142857	35	4.9293902293357e-14
Unsaturated PE	0.00204709649253432	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC	PC (33:1) 	4	1	3	0.166666666666667	0.666666666666667	6	0.00545892398009151
Unsaturated PI	2.16906637480196e-05	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OC1C([C@@H](C(C(C1O)O)O)O)O	PI (38:5)	5	0	5	0	0.833333333333333	6	8.67626549920786e-05
Unsaturated Plasmenyl-PC	0.169523938675823	CCCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	PC (p-34:1) or PC (o-34:2)	1	0	1	0	0.142857142857143	7	0.225373115441325
Unsaturated Plasmenyl-PE	0.00262304865199525	CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	plasmenyl-PE (38:6)	4	0	4	0	0.666666666666667	6	0.00662664922609327
Unsaturated SM	1.13760134645702e-09	CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCC/C=C\CCC)O	SM (d42:2) B	12	0	12	0	0.75	16	6.82560807874211e-09
Unsaturated TG	0	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	TG (53:4)	29	28	1	0.608695652173913	0.630434782608696	46	0
Urea	0.0468796216843108	C(=O)(N)N	urea	2	2	0	0.4	0.4	5	0.0725878013176425
Vitamines	0.173725109819355	C1=CC(=CN=C1)C(=O)O	nicotinic acid	1	1	0	0.25	0.25	4	0.225373115441325
