Compound Name	InChiKeys	Pubchem ID	SMILES	pvalue	foldchange
Pantothenic Acid	GHOKWGTUZJEAQD-ZETCQYMHSA-N	6613	CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O	0.0043127	1.4508
D-panthenol	SNPLKNRPJHDVJA-ZETCQYMHSA-N	131204	CC(C)(CO)[C@H](C(=O)NCCCO)O	0.3185	1.1353
1-Propanol, 2-amino-2-methyl-	CBTVGIZVANVGBH-UHFFFAOYSA-N	11807	CC(C)(CO)N	0.71625	1.1526
ethanolamine	HZAXFHJVJLSVMW-UHFFFAOYSA-N	700	C(CO)N	0.9735	1.0354
Hexaethylene glycol	IIRDTKBZINWQAW-UHFFFAOYSA-N	17472	C(COCCOCCOCCOCCOCCO)O	0.054857	1.0805
Tetraethylene glycol monomethyl ether	ZNYRFEPBTVGZDN-UHFFFAOYSA-N	90263	COCCOCCOCCOCCO	0.089708	1.0621
Cotinine	UIKROCXWUNQSPJ-VIFPVBQESA-N	854019	CN1[C@@H](CCC1=O)C2=CN=CC=C2	0.66639	1.0754
Myosmine	DPNGWXJMIILTBS-UHFFFAOYSA-N	442649	C1CC(=NC1)C2=CN=CC=C2	0.89553	1.05
Cholesterol 	HVYWMOMLDIMFJA-DPAQBDIFSA-N	5997	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C	0.25944	0.98028
cholesterol	HVYWMOMLDIMFJA-DPAQBDIFSA-N	5997	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C	0.50028	1.0398
a-Pinene oxide	NQFUSWIGRKFAHK-KEMUHUQJSA-N	439800	CC1([C@H]2C[C@@H]1C3(C(C2)O3)C)C	0.98251	1.1799
Betaine	KWIUHFFTVRNATP-UHFFFAOYSA-N	247	C[N+](C)(C)CC(=O)[O-]	0.022274	0.92352
Creatine	CVSVTCORWBXHQV-UHFFFAOYSA-N	586	CN(CC(=O)O)C(=N)N	0.83769	1.1052
epsilon-Caprolactam	JBKVHLHDHHXQEQ-UHFFFAOYSA-N	7768	C1CCC(=O)NCC1	0.014961	1.0362
Tetrapentylammonium cation	GJSGYPDDPQRWPK-UHFFFAOYSA-N	17249	CCCCC[N+](CCCCC)(CCCCC)CCCCC	0.11965	1.2265
1-Hexadecylamine	FJLUATLTXUNBOT-UHFFFAOYSA-N	8926	CCCCCCCCCCCCCCCCN	0.14944	1.1891
Cyclohexanamine	PAFZNILMFXTMIY-UHFFFAOYSA-N	7965	C1CCC(CC1)N	0.1737	1.0438
Tetradecylamine	PLZVEHJLHYMBBY-UHFFFAOYSA-N	16217	CCCCCCCCCCCCCCN	0.18408	1.1019
N-cyclohexylformamide	SWGXDLRCJNEEGZ-UHFFFAOYSA-N	13017	C1CCC(CC1)NC=O	0.19883	1.1239
Trimethylamine N-oxide	UYPYRKYUKCHHIB-UHFFFAOYSA-N	1145	C[N+](C)(C)[O-]	0.57382	1.1719
p-Acetamidophenol	RZVAJINKPMORJF-UHFFFAOYSA-N	1983	CC(=O)NC1=CC=C(C=C1)O	0.2309	2.9069
N-(3-(Aminomethyl)benzyl)acetamidine	RODUKNYOEVZQPR-UHFFFAOYSA-N	1433	CC(=NCC1=CC(=CC=C1)CN)N	0.4136	1.0747
4-aminophenol	PLIKAWJENQZMHA-UHFFFAOYSA-N	403	C1=CC(=CC=C1N)O	0.66783	1.1836
Aniline	PAYRUJLWNCNPSJ-UHFFFAOYSA-N	6115	C1=CC=C(C=C1)N	0.73995	0.91331
phenol	ISWSIDIOOBJBQZ-UHFFFAOYSA-N	996	C1=CC=C(C=C1)O	0.84636	1.0074
PHAU	 VUPFPVOJLPTJQS-UHFFFAOYSA-N	4137915	C1=CC=C(C=C1)NC(=O)NCCCCCC(=O)O	0.99905	1
phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N	6140	C1=CC=C(C=C1)C[C@@H](C(=O)O)N	0.021159	0.8633
Tyr-Met-Lys	NKMFRGPKTIEXSK-UHFFFAOYSA-N	18232080	CSCCC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N	0.024255	1.1186
alpha-N-phenylacetyl-L-glutamine	JFLIEFSWGNOPJJ-JTQLQIEISA-N	92258	C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O	0.056005	1.8269
Atenolol	METKIMKYRPQLGS-UHFFFAOYSA-N	2249	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	0.11658	0.96743
tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N	6057	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	0.20162	0.89385
Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N	6140	C1=CC=C(C=C1)C[C@@H](C(=O)O)N	0.63303	0.98216
L-alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N	5950	C[C@@H](C(=O)O)N	0.027339	1.1036
l-glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N	33032	C(CC(=O)O)[C@@H](C(=O)O)N	0.032124	1.0867
Pregabalin	AYXYPKUFHZROOJ-ZETCQYMHSA-N	5486971	CC(C)C[C@@H](CC(=O)O)CN	0.11142	0.89541
aminomalonate	JINBYESILADKFW-UHFFFAOYSA-N	100714	C(C(=O)O)(C(=O)O)N	0.14034	0.87939
beta-alanine	UCMIRNVEIXFBKS-UHFFFAOYSA-N	239	C(CN)C(=O)O	0.17342	1.1484
ornithine 	AHLPHDHHMVZTML-BYPYZUCNSA-N	6262	C(C[C@@H](C(=O)O)N)CN	0.19547	0.89147
Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N	6322	C(C[C@@H](C(=O)O)N)CN=C(N)N	0.20376	1.1256
N-acetylornithine	JRLGPAXAGHMNOL-LURJTMIESA-N	439232	CC(=O)N[C@@H](CCCN)C(=O)O	0.23011	0.87336
alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N	5950	C[C@@H](C(=O)O)N	0.32766	1.0979
Threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N	6288	C[C@H]([C@@H](C(=O)O)N)O	0.36898	1.0724
Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N	5951	C([C@@H](C(=O)O)N)O	0.38186	1.056
5-Aminovaleric acid	JJMDCOVWQOJGCB-UHFFFAOYSA-N	138	C(CCN)CC(=O)O	0.40137	1.1322
D-Pyroglutamic acid	ODHCTXKNWHHXJC-GSVOUGTGSA-N	439685	C1CC(=O)N[C@H]1C(=O)O	0.40228	1.0157
4-acetamidobutyric acid	UZTFMUBKZQVKLK-UHFFFAOYSA-N	18189	CC(=O)NCCCC(=O)O	0.43106	1.0274
Isoleucine	AGPKZVBTJJNPAG-WHFBIAKZSA-N	6306	CC[C@H](C)[C@@H](C(=O)O)N	0.43723	0.99897
proline	ONIBWKKTOPOVIA-BYPYZUCNSA-N	145742	C1C[C@H](NC1)C(=O)O	0.47895	1.0208
L-proline	ONIBWKKTOPOVIA-BYPYZUCNSA-N	145742	C1C[C@H](NC1)C(=O)O	0.50879	0.92564
leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N	6106	CC(C)C[C@@H](C(=O)O)N	0.51758	0.94867
trans-4-hydroxyproline	PMMYEEVYMWASQN-DMTCNVIQSA-N	5810	C1[C@H](CN[C@@H]1C(=O)O)O	0.54188	1.2738
L-isoleucine	AGPKZVBTJJNPAG-WHFBIAKZSA-N	6306	CC[C@H](C)[C@@H](C(=O)O)N	0.54926	1.1266
isoleucine	AGPKZVBTJJNPAG-WHFBIAKZSA-N	6306	CC[C@H](C)[C@@H](C(=O)O)N	0.5496	0.98157
serine	MTCFGRXMJLQNBG-REOHCLBHSA-N	5951	C([C@@H](C(=O)O)N)O	0.5777	1.0124
N-methylalanine	GDFAOVXKHJXLEI-VKHMYHEASA-N	5288725	C[C@@H](C(=O)O)NC	0.60169	1.135
glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N	750	C(C(=O)O)N	0.65491	1.0523
N.epsilon.-Methyl-L-lysine	PQNASZJZHFPQLE-UHFFFAOYSA-N	541646	CNCCCCC(C(=O)O)N	0.70387	0.99392
glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N	5961	C(CC(=O)N)[C@@H](C(=O)O)N	0.75627	0.89402
Ne,Ne,Ne-Trimethyllysine	MXNRLFUSFKVQSK-QMMMGPOBSA-N	440120	C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N	0.76093	1.0725
n-acetylglutamate	RFMMMVDNIPUKGG-YFKPBYRVSA-N	70914	CC(=O)N[C@@H](CCC(=O)O)C(=O)O	0.77924	1.2732
glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N	33032	C(CC(=O)O)[C@@H](C(=O)O)N	0.78968	0.94106
valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N	6287	CC(C)[C@@H](C(=O)O)N	0.79474	0.96019
lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N	5962	C(CCN)C[C@@H](C(=O)O)N	0.81637	0.96594
N,N-dimethylarginine	YDGMGEXADBMOMJ-LURJTMIESA-N	123831	CN(C)C(=NCCC[C@@H](C(=O)O)N)N	0.83868	0.9932
threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N	6288	C[C@H]([C@@H](C(=O)O)N)O	0.87482	0.98522
L-Leucyl-L- Alanine	HSQGMTRYSIHDAC-BQBZGAKWSA-N	81721	C[C@@H](C(=O)O)NC(=O)[C@H](CC(C)C)N	0.8809	1.0132
asparagine	DCXYFEDJOCDNAF-REOHCLBHSA-N	6267	C([C@@H](C(=O)O)N)C(=O)N	0.8867	1.0728
Leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N	6106	CC(C)C[C@@H](C(=O)O)N	0.91863	0.91086
4-aminobutyric acid	BTCSSZJGUNDROE-UHFFFAOYSA-N	119	C(CC(=O)O)CN	0.94606	0.91071
Pipecolic acid	HXEACLLIILLPRG-UHFFFAOYSA-N	849	C1CCNC(C1)C(=O)O	0.97098	1.1441
oxoproline	ODHCTXKNWHHXJC-VKHMYHEASA-N	7405	C1CC(=O)N[C@@H]1C(=O)O	0.99905	1.0446
CUDA	HPTJABJPZMULFH-UHFFFAOYSA-N	22978774	C1CCC(CC1)NC(=O)NCCCCCCCCCCCC(=O)O	0.99905	1
3-(1-pyrazolyl)-L-alanine	PIGOPELHGLPKLL-YFKPBYRVSA-N	151491	C1=CN(N=C1)C[C@@H](C(=O)O)N	0.09529	1.9453
3-methyl-L-histidine	JDHILDINMRGULE-LURJTMIESA-N	64969	CN1C=NC=C1C[C@@H](C(=O)O)N	0.31686	0.82749
histamine	NTYJJOPFIAHURM-UHFFFAOYSA-N	774	C1=C(NC=N1)CCN	0.42275	1.3612
1-Methylhistidine	BRMWTNUJHUMWMS-LURJTMIESA-N	92105	CN1C=C(N=C1)C[C@@H](C(=O)O)N	0.65031	1.1582
Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N	6274	C1=C(NC=N1)C[C@@H](C(=O)O)N	0.67413	0.97918
histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N	6274	C1=C(NC=N1)C[C@@H](C(=O)O)N	0.83884	1.0141
methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N	6137	CSCC[C@@H](C(=O)O)N	0.6742	1.1525
cystine	LEVWYRKDKASIDU-UHFFFAOYSA-N	595	C(C(C(=O)O)N)SSCC(C(=O)O)N	0.77802	1.1579
L-methionine sulfoxide	QEFRNWWLZKMPFJ-YGVKFDHGSA-N	158980	CS(=O)CC[C@@H](C(=O)O)N	0.95498	1.0383
L-methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N	6137	CSCC[C@@H](C(=O)O)N	0.95775	0.9055
urea	XSQUKJJJFZCRTK-UHFFFAOYSA-N	1176	C(=O)(N)N	0.42211	0.86139
Urea	XSQUKJJJFZCRTK-UHFFFAOYSA-N	1176	C(=O)(N)N	0.61665	0.9808
hydroxycarbamate NIST	DRAJWRKLRBNJRQ-UHFFFAOYSA-N	16639161	C(=O)(NO)O	0.63773	0.97513
hydroxylamine	AVXURJPOCDRRFD-UHFFFAOYSA-N	787	NO	0.99063	0.96807
Urobilin	KDCCOOGTVSRCHX-UYMYUHGCSA-N	6433298	CCC1=C(C(=O)N[C@H]1CC2=C(C(=C(N2)/C=C\3/C(=C(C(=N3)C[C@H]4C(=C(C(=O)N4)CC)C)C)CCC(=O)O)CCC(=O)O)C)C	0.098172	1.6344
Bilirubin	BPYKTIZUTYGOLE-IFADSCNNSA-N	5280352	CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/C=C\4/C(=C(C(=O)N4)C=C)C	0.65464	1.0296
Creatinine	DDRJAANPRJIHGJ-UHFFFAOYSA-N	588	CN1CC(=O)N=C1N	0.51975	1.0672
creatinine	DDRJAANPRJIHGJ-UHFFFAOYSA-N	588	CN1CC(=O)N=C1N	0.69816	0.92348
GlcCer (d42:1) 	SNVYJLGKALMFOP-MOLROICHSA-N	6321367	CCCCCCCCCCCCCCC[C@H]([C@H](CO[C@H]1C(C([C@@H]([C@H](O1)CO)O)O)O)NC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)O	0.63572	1.722
Gal-Gal-Cer(d18:1/16:0) or Lactosylceramide(d18:1/16:0) 	HLIJNIKSBCIDGO-OMORZLDKSA-N	102398792	CCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)[C@@H](/C=C/CCCCCCCCCCCCC)O	0.72379	1.006
mannose	WQZGKKKJIJFFOK-QTVWNMPRSA-N	18950	C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O	0.037195	1.1003
1-methylgalactose NIST	HOVAGTYPODGVJG-UHFFFAOYSA-N	2108	COC1C(C(C(C(O1)CO)O)O)O	0.052	0.98322
myo-inositol	CDAISMWEOUEBRE-UHFFFAOYSA-N	892	C1(C(C(C(C(C1O)O)O)O)O)O	0.086574	0.84451
conduritol-beta-epoxide	ZHMWOVGZCINIHW-SPHYCDKFSA-N	9989541	[C@@H]1([C@@H]([C@H](C2C([C@@H]1O)O2)O)O)O	0.12839	1.0472
glucose	WQZGKKKJIJFFOK-VFUOTHLCSA-N	64689	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O	0.13452	1.1842
hexose	WQZGKKKJIJFFOK-UHFFFAOYSA-N	206	C(C1C(C(C(C(O1)O)O)O)O)O	0.15954	1.1115
arabitol	HEBKCHPVOIAQTA-QWWZWVQMSA-N	94154	C([C@H](C([C@@H](CO)O)O)O)O	0.16456	0.94692
hexitol	FBPFZTCFMRRESA-UHFFFAOYSA-N	453	C(C(C(C(C(CO)O)O)O)O)O	0.20905	0.96522
1,5-anhydroglucitol	MPCAJMNYNOGXPB-SLPGGIOYSA-N	64960	C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	0.23578	0.85352
levoglucosan	TWNIBLMWSKIRAT-VFUOTHLCSA-N	2724705	C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O	0.25075	1.2722
ribose	HMFHBZSHGGEWLO-SOOFDHNKSA-N	5311110	C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O	0.35045	0.9893
glycerol	PEDCQBHIVMGVHV-UHFFFAOYSA-N	753	C(C(CO)O)O	0.37853	1.2442
mannitol	FBPFZTCFMRRESA-KVTDHHQDSA-N	6251	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O	0.38791	1.062
fucose	SHZGCJCMOBCMKK-FPRJBGLDSA-N	17106	C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O	0.47234	0.95531
lyxitol	HEBKCHPVOIAQTA-IMJSIDKUSA-N	439255	C([C@@H](C([C@H](CO)O)O)O)O	0.54336	1.0316
propane-1,3-diol NIST	YPFDHNVEDLHUCE-UHFFFAOYSA-N	10442	C(CO)CO	0.61103	1.0266
threitol	UNXHWFMMPAWVPI-QWWZWVQMSA-N	169019	C([C@H]([C@@H](CO)O)O)O	0.65663	0.91951
sucrose	CZMRCDWAGMRECN-UGDNZRGBSA-N	5988	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	0.74219	1.0744
xylose	SRBFZHDQGSBBOR-IOVATXLUSA-N	135191	C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O	0.78521	1.1285
fructose	RFSUNEUAIZKAJO-ARQDHWQXSA-N	5984	C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O	0.80192	1.1501
tagatose	LKDRXBCSQODPBY-OEXCPVAWSA-N	439312	C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O	0.81511	1.0865
glucose-1-phosphate	HXXFSFRBOHSIMQ-VFUOTHLCSA-N	65533	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O	0.90482	0.98162
erythritol	UNXHWFMMPAWVPI-ZXZARUISSA-N	222285	C([C@H]([C@H](CO)O)O)O	0.91227	1.0291
cellobiose	GUBGYTABKSRVRQ-QUYVBRFLSA-N	6255	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O	0.98856	1.0329
2-Methylglutaric acid	AQYCMVICBNBXNA-UHFFFAOYSA-N	12046	CC(CCC(=O)O)C(=O)O	0.028633	1.0261
2-ketoisocaproic acid	BKAJNAXTPSGJCU-UHFFFAOYSA-N	70	CC(C)CC(=O)C(=O)O	0.80578	0.86644
threonic acid	JPIJQSOTBSSVTP-STHAYSLISA-N	5460407	C([C@@H]([C@H](C(=O)O)O)O)O	0.027769	1.2095
malic acid	BJEPYKJPYRNKOW-UHFFFAOYSA-N	525	C(C(C(=O)O)O)C(=O)O	0.090602	0.92954
erythronic acid lactone	SGMJBNSHAZVGMC-PWNYCUMCSA-N	5325915	C1[C@H]([C@H](C(=O)O1)O)O	0.28596	1.0963
glyceric acid	RBNPOMFGQQGHHO-UWTATZPHSA-N	752	C([C@H](C(=O)O)O)O	0.36462	1.0721
oxalic acid	MUBZPKHOEPUJKR-UHFFFAOYSA-N	971	C(=O)(C(=O)O)O	0.38263	0.91603
pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N	1060	CC(=O)C(=O)O	0.50703	0.86424
2-hydroxyglutaric acid	HWXBTNAVRSUOJR-UHFFFAOYSA-N	43	C(CC(=O)O)C(C(=O)O)O	0.55759	1.0792
isothreonic acid	JPIJQSOTBSSVTP-GBXIJSLDSA-N	151152	C([C@H]([C@@H](C(=O)O)O)O)O	0.68993	1.0629
2-deoxytetronic acid	DZAIOXUZHHTJKN-UHFFFAOYSA-N	150929	C(C(CO)O)C(=O)O	0.76189	1.0024
lactic acid	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	612	CC(C(=O)O)O	0.79772	0.98396
3-hydroxybutyric acid	WHBMMWSBFZVSSR-GSVOUGTGSA-N	441	C[C@H](CC(=O)O)O	0.89051	0.83971
alpha-ketoglutarate	KPGXRSRHYNQIFN-UHFFFAOYSA-N	51	C(CC(=O)O)C(=O)C(=O)O	0.90952	1.0652
2-deoxyisotetronic acid NIST	UFYGCFHQAXXBCF-UHFFFAOYSA-N	192742	C(CO)C(C(=O)O)O	0.93533	1.0124
2-hydroxybutanoic acid	AFENDNXGAFYKQO-VKHMYHEASA-N	440864	CC[C@@H](C(=O)O)O	0.98002	1.0337
Triethyl citrate	DOOTYTYQINUNNV-UHFFFAOYSA-N	6506	CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O	0.98671	1.2623
hexuronic acid	IAJILQKETJEXLJ-UHFFFAOYSA-N	152867	C(=O)C(C(C(C(C(=O)O)O)O)O)O	0.15986	1.0294
dehydroascorbic acid	SBJKKFFYIZUCET-JLAZNSOCSA-N	440667	C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O	0.18128	1.1637
quinic acid	AAWZDTNXLSGCEK-LNVDRNJUSA-N	6508	C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O	0.75957	0.89271
N-Tris(hydroxymethyl)methyl-4-aminobutanesulfonic acid	VFTZCDVTMZWNBF-UHFFFAOYSA-N	4064326	C(CCS(=O)(=O)O)CNC(CO)(CO)CO	0.053173	1.0742
taurine	XOAAWQZATWQOTB-UHFFFAOYSA-N	1123	C(CS(=O)(=O)O)N	0.76084	1.1212
Dimethyl sulfoxide	IAZDPXIOMUYVGZ-UHFFFAOYSA-N	679	CS(=O)C	0.91869	1.0461
TXB2	XNRNNGPBEPRNAR-JQBLCGNGSA-N	5283137	CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC(O1)O)O)C/C=C\CCCC(=O)O)O	0.81884	0.96376
d4-TXB2	XNRNNGPBEPRNAR-LCGOHBJFSA-N	16061116	[2H]C([2H])(CC(=O)O)C([2H])([2H])/C=C\C[C@H]1[C@H](CC(O[C@@H]1/C=C/[C@H](CCCCC)O)O)O	0.99905	1
9-Nitrooleate	CQOAKBVRRVHWKV-SAPNQHFASA-N	11645581	CCCCCCCC/C=C(\CCCCCCCC(=O)O)/[N+](=O)[O-]	0.99905	1
10-Nitrolinoleate	LELVHAQTWXTCLY-XYWKCAQWSA-N	5282259	CCCCC/C=C\C/C(=C\CCCCCCCC(=O)O)/[N+](=O)[O-]	0.99905	1
10-Nitrooleate	WRADPCFZZWXOTI-BMRADRMJSA-N	24836820	CCCCCCCC/C(=C\CCCCCCCC(=O)O)/[N+](=O)[O-]	0.99905	1
gamma-Butyrobetaine	JHPNVNIEXXLNTR-UHFFFAOYSA-N	725	C[N+](C)(C)CCCC(=O)[O-]	0.0045849	0.85524
L-carnitine	PHIQHXFUZVPYII-ZCFIWIBFSA-N	10917	C[N+](C)(C)C[C@@H](CC(=O)[O-])O	0.019028	0.90996
Acylcarnitine (C11:1)	FPUYBGZEWPJSDX-UHFFFAOYSA-N	3072516	CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.033961	0.73786
Acylcarnitine (C9:1)	MPSPNFAQQQMFLK-UHFFFAOYSA-N	53481660	CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.079573	0.90849
Acylcarnitine C18:1 	HITOYGLMAFIRNI-YSESTWPTSA-N	53477830	CCCCCC/C=C/CCCCCCCCCC(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C	0.094994	0.78886
Octenoylcarnitine	LOSHAHDSFZXVCT-MDZDMXLPSA-N	71464472	CCCCC/C=C/C(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.17081	1.1395
Isovalerylcarnitine	IGQBPDJNUXPEMT-UHFFFAOYSA-N	6426851	CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.1942	0.94692
Butyrylcarnitine	QWYFHHGCZUCMBN-SECBINFHSA-N	213144	CCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.24468	0.98081
Acylcarnitine C18:2 	MJLXQSQYKZWZCB-DQFWFXSYSA-N	6450015	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.4969	0.90343
Acylcarnitine C10:0 	LZOSYCMHQXPBFU-UHFFFAOYSA-N	10245190	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.54862	1.0428
Hexanoylcarnitine	VVPRQWTYSNDTEA-UHFFFAOYSA-N	6426853	CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.61854	1.2349
